,問題,回答,,,
601,是的，我想我會去。,我要去那裡見你嗎？,,,
602,這是怎麼回事？,真的沒什麼，你？,,,
603,真的沒什麼，你？,下週六我要舉辦一個聚會。,,,
604,下週六我要舉辦一個聚會。,是對的嗎？,,,
605,是對的嗎？,是的，你要來嗎？,,,
606,是的，你要來嗎？,對不起，我不能。,,,
607,對不起，我不能。,為什麼不？,,,
608,為什麼不？,我真的不想。,,,
609,我真的不想。,好吧，你為什麼不呢？,,,
610,好吧，你為什麼不呢？,我討厭參加聚會。,,,
611,我討厭參加聚會。,好吧，沒關係。,,,
612,好吧，沒關係。,是的，抱歉。,,,
613,這是怎麼回事？,沒什麼，你呢？,,,
614,沒什麼，你呢？,下週六，我要去參加一個聚會。,,,
615,下週六，我要去參加一個聚會。,哦真的嗎？,,,
616,哦真的嗎？,你來了？,,,
617,你來了？,可能不會。,,,
618,可能不會。,這是為什麼？,,,
619,這是為什麼？,我不想去。,,,
620,我不想去。,為什麼不？,,,
621,為什麼不？,我實在受不了參加聚會。,,,
622,我實在受不了參加聚會。,我明白，我想。,,,
623,我明白，我想。,對於那個很抱歉。,,,
624,發生了什麼事？,不多，那你呢？,,,
625,不多，那你呢？,下週六我要舉辦一個聚會。,,,
626,下週六我要舉辦一個聚會。,那很好。,,,
627,那很好。,你會去那裡嗎？,,,
628,你會去那裡嗎？,我不這麼認為。,,,
629,我不這麼認為。,有什麼原因嗎？,,,
630,有什麼原因嗎？,我只是真的不想去。,,,
631,我只是真的不想去。,怎麼會？,,,
632,怎麼會？,我真的不喜歡聚會。,,,
633,我真的不喜歡聚會。,我希望你能走，不過沒關係。,,,
634,這是怎麼回事？,沒什麼，發生什麼事了？,,,
635,沒什麼，發生什麼事了？,這週五我要舉辦一個聚會。,,,
636,這週五我要舉辦一個聚會。,哦真的嗎？那很好。,,,
637,哦真的嗎？那很好。,我想看看你是否願意來。,,,
638,我想看看你是否願意來。,這個星期五？抱歉，我已經有計劃了。,,,
639,這個星期五？抱歉，我已經有計劃了。,做什麼？,,,
640,做什麼？,我要去和我的家人一起吃晚餐。,,,
641,我要去和我的家人一起吃晚餐。,我真的很想讓你來，但我理解。,,,
642,我真的很想讓你來，但我理解。,是的，也許下次吧。,,,
643,是的，也許下次吧。,我會堅持下去。,,,
644,我會堅持下去。,聽起來像是個計畫。,,,
645,嘿，你有什麼好？,不是很多。你呢？,,,
646,不是很多。你呢？,我星期五要辦一個聚會。,,,
647,我星期五要辦一個聚會。,這聽起來很有趣。,,,
648,這聽起來很有趣。,你覺得你能來嗎？,,,
649,你覺得你能來嗎？,對不起。這週五我已經在做某件事了。,,,
650,對不起。這週五我已經在做某件事了。,你要做什麼？,,,
651,你要做什麼？,我和我的家人要去吃晚餐。,,,
652,我和我的家人要去吃晚餐。,我本來希望你能來。,,,
653,我本來希望你能來。,下次我一定會盡力做到的。,,,
654,下次我一定會盡力做到的。,我最好在那裡見到你。,,,
655,我最好在那裡見到你。,好的。下次見。,,,
656,這是怎麼回事？,真的沒什麼。你呢？,,,
657,真的沒什麼。你呢？,很多，像是我周五參加的聚會。,,,
658,很多，像是我周五參加的聚會。,好吧，那很酷。,,,
659,好吧，那很酷。,你能做到嗎？,,,
660,你能做到嗎？,這週五我很忙。對不起。,,,
661,這週五我很忙。對不起。,你必須做什麼？,,,
662,你必須做什麼？,我正在和家人一起吃晚餐,,,
663,我正在和家人一起吃晚餐,也許你下次可以來。,,,
664,也許你下次可以來。,我會確定並參加你的下一次聚會。,,,
665,我會確定並參加你的下一次聚會。,我會在下次聚會中找你。,,,
666,很開心跟你聊天。,為什麼要催促我掛斷電話？,,,
667,為什麼要催促我掛斷電話？,我真的得走了。,,,
668,我真的得走了。,為什麼？我還是想跟你談談。,,,
669,為什麼？我還是想跟你談談。,我有事情要做。,,,
670,我有事情要做。,像什麼？,,,
671,像什麼？,別多管閒事。,,,
672,別多管閒事。,我不是。我只是想知道。,,,
673,我不是。我只是想知道。,好吧，這確實不關你的事。,,,
674,好吧，這確實不關你的事。,這太嚴酷了。,,,
675,這太嚴酷了。,對不起，但我得走了。,,,
676,對不起，但我得走了。,美好的。,,,
677,我很高興與你交談。,你這麼快掛掉電話有什麼原因嗎？,,,
678,你這麼快掛掉電話有什麼原因嗎？,我得走了。,,,
679,我得走了。,我還沒跟你說完。,,,
680,我還沒跟你說完。,我必須做一些事情，而且，多管閒事是不禮貌的。,,,
681,我必須做一些事情，而且，多管閒事是不禮貌的。,我沒有多管閒事。我只是問問。,,,
682,我沒有多管閒事。我只是問問。,我真的認為這不關你的事。,,,
683,我真的認為這不關你的事。,這不太好。,,,
684,這不太好。,我很抱歉，但我現在要掛電話了。,,,
685,我很抱歉，但我現在要掛電話了。,好的。,,,
686,我稍後再跟你談。,急什麼？,,,
687,急什麼？,我現在必須掛掉電話了。,,,
688,我現在必須掛掉電話了。,我還沒準備好跟你掛掉電話。,,,
689,我還沒準備好跟你掛掉電話。,我還有其他事情要處理。,,,
690,我還有其他事情要處理。,你需要做什麼？,,,
691,你需要做什麼？,請不要多管閒事。,,,
692,請不要多管閒事。,我不是多管閒事，這只是一個問題。,,,
693,我不是多管閒事，這只是一個問題。,你不需要擔心這個。,,,
694,你不需要擔心這個。,這話有點意思。,,,
695,這話有點意思。,我很抱歉，但我必須走了。,,,
696,嗯，很高興與你交談。,和你聊天也很高興。,,,
697,和你聊天也很高興。,我們真的應該再出去玩。,,,
698,我們真的應該再出去玩。,這應該會很有趣。,,,
699,這應該會很有趣。,你想去哪裡？,,,
700,你想去哪裡？,我想我們應該出去吃飯。,,,
701,我想我們應該出去吃飯。,聽起來很好。,,,
702,聽起來很好。,好的，那麼到時候見。,,,
703,好的，那麼到時候見。,我一會打給你。,,,
704,我一會打給你。,好的，那我稍後再和你談。,,,
705,好的，那我稍後再和你談。,回頭見。,,,
706,回頭見。,再見。,,,
707,我很高興和你說話。,我也很喜歡跟你說話。,,,
708,我也很喜歡跟你說話。,我們應該出去玩一段時間。,,,
709,我們應該出去玩一段時間。,我認為那很好。,,,
710,我認為那很好。,下次有什麼想做的事嗎？,,,
711,下次有什麼想做的事嗎？,你想出去吃飯嗎？,,,
712,你想出去吃飯嗎？,我想要那個。,,,
713,我想要那個。,所以我們下次見。,,,
714,所以我們下次見。,我很快就會打電話給你。,,,
715,我很快就會打電話給你。,我稍後再跟你談。,,,
716,我稍後再跟你談。,再見。,,,
717,再見。,再見。,,,
718,我和你聊天很開心。,和你聊天也很高興。,,,
719,和你聊天也很高興。,我想我們真的應該找個時間做點什麼。,,,
720,我想我們真的應該找個時間做點什麼。,那應該會很有趣。,,,
721,那應該會很有趣。,下次你想做什麼？,,,
722,下次你想做什麼？,你想去吃晚餐什麼的嗎？,,,
723,你想去吃晚餐什麼的嗎？,是的，我們就這麼做吧。,,,
724,是的，我們就這麼做吧。,好吧，到時候再說吧。,,,
725,好吧，到時候再說吧。,我會打電話給你，以便我們安排。,,,
726,我會打電話給你，以便我們安排。,那就和你談談吧。,,,
727,那就和你談談吧。,好吧，再見。,,,
728,你住在哪裡？,我住在帕薩迪納。,,,
729,我住在帕薩迪納。,帕薩迪納在哪裡？,,,
730,帕薩迪納在哪裡？,這是在加州。,,,
731,這是在加州。,是在北加州嗎？,,,
732,是在北加州嗎？,不。它位於南加州。,,,
733,不。它位於南加州。,帕薩迪納 是大城市嗎？,,,
734,帕薩迪納 是大城市嗎？,它相當大。,,,
735,它相當大。,“相當大”有多大？,,,
736,“相當大”有多大？,"它有大約140,000人。",,,
737,"它有大約140,000人。",洛杉磯有多大？,,,
738,洛杉磯有多大？,它有大約300萬人口。,,,
739,你有車嗎？,是的，我願意。,,,
740,是的，我願意。,你有什麼類型的車？,,,
741,你有什麼類型的車？,我有一輛本田。,,,
742,我有一輛本田。,這是新的嗎？,,,
743,這是新的嗎？,這是2003年的新作。,,,
744,這是2003年的新作。,所以，現在已經很老了。,,,
745,所以，現在已經很老了。,是的。但看起來還是不錯的。,,,
746,是的。但看起來還是不錯的。,你照顧好它嗎？,,,
747,你照顧好它嗎？,哦是的。我每週洗一次。,,,
748,哦是的。我每週洗一次。,你換油嗎？,,,
749,你換油嗎？,我的機械師每年換油兩次。,,,
750,你有女朋友嗎？,不，我不。你？,,,
751,不，我不。你？,我也沒有女朋友。,,,
752,我也沒有女朋友。,為什麼不？,,,
753,為什麼不？,我不知道。也許我還不夠富有。,,,
754,我不知道。也許我還不夠富有。,女孩子都喜歡有錢的男人。,,,
755,女孩子都喜歡有錢的男人。,他們確實這麼做了。,,,
756,他們確實這麼做了。,他們喜歡擁有新車的人。,,,
757,他們喜歡擁有新車的人。,我沒有錢，也沒有新車。,,,
758,我沒有錢，也沒有新車。,我也不。,,,
759,我也不。,但女孩喜歡有趣的男孩。,,,
760,但女孩喜歡有趣的男孩。,也許我們應該學一些好笑話。,,,
761,你要去哪裡？,我得遛狗。,,,
762,我得遛狗。,你有什麼品種的狗？,,,
763,你有什麼品種的狗？,我有一隻小貴賓犬。,,,
764,我有一隻小貴賓犬。,貴賓犬經常吠叫。,,,
765,貴賓犬經常吠叫。,他們確實這麼做了。,,,
766,他們確實這麼做了。,他們對一切都吠叫。,,,
767,他們對一切都吠叫。,他們從不閉嘴。,,,
768,他們從不閉嘴。,為什麼養了一隻貴賓犬？,,,
769,為什麼養了一隻貴賓犬？,這是我媽媽的狗。,,,
770,這是我媽媽的狗。,所以她喜歡貴賓犬。,,,
771,所以她喜歡貴賓犬。,她說它們是很好的看門狗。,,,
772,我可以藉5美元嗎？,當然。為什麼需要它？,,,
773,當然。為什麼需要它？,我想買午餐。,,,
774,我想買午餐。,你的錢在哪裡？,,,
775,你的錢在哪裡？,它不在我的錢包裡。,,,
776,它不在我的錢包裡。,你的錢包空了？,,,
777,你的錢包空了？,我裡面連一美元都沒有。,,,
778,我裡面連一美元都沒有。,破產並不好玩。,,,
779,破產並不好玩。,即使只是很短的一段時間。,,,
780,即使只是很短的一段時間。,有朋友總是好的。,,,
781,有朋友總是好的。,破產時朋友會借錢給你。,,,
782,破產時朋友會借錢給你。,只要你還錢給他們。,,,
783,我們去海灘吧。,好主意啊。,,,
784,好主意啊。,我們有一段時間沒來了。,,,
785,我們有一段時間沒來了。,我們已經一個月沒去了。,,,
786,我們已經一個月沒去了。,上次我們去的時候，你差點被淹死。,,,
787,上次我們去的時候，你差點被淹死。,不，我沒有。,,,
788,不，我沒有。,那麼救生員為什麼要潛入水中呢？,,,
789,那麼救生員為什麼要潛入水中呢？,我想他想冷靜一下。,,,
790,我想他想冷靜一下。,他徑直游向你。,,,
791,他徑直游向你。,然後他右轉。,,,
792,然後他右轉。,也許你是對的。,,,
793,也許你是對的。,也許我們應該出發了。,,,
794,你結婚了嗎？,不。我離過婚。,,,
795,不。我離過婚。,你什麼時候離婚的？,,,
796,你什麼時候離婚的？,我兩年前離婚了。,,,
797,我兩年前離婚了。,為什麼離婚？,,,
798,為什麼離婚？,我的妻子離開了我。,,,
799,我的妻子離開了我。,她為什麼離開你？,,,
800,她為什麼離開你？,她說她不再愛我了。,,,
801,她說她不再愛我了。,哇！這太可怕了。,,,
802,哇！這太可怕了。,是的。,,,
803,是的。,她為什麼不再愛你了？,,,
804,她為什麼不再愛你了？,她愛上了我最好的朋友。,,,
805,我很無聊。,電視上有什麼節目？,,,
806,電視上有什麼節目？,沒有什麼。,,,
807,沒有什麼。,電視上一定有什麼東西！,,,
808,電視上一定有什麼東西！,沒什麼有趣的。,,,
809,沒什麼有趣的。,那個新遊戲節目怎麼樣？,,,
810,那個新遊戲節目怎麼樣？,哪一個？,,,
811,哪一個？,“成還是不成”,,,
812,“成還是不成”,告訴我你在開玩笑。,,,
813,告訴我你在開玩笑。,我喜歡那個節目。,,,
814,我喜歡那個節目。,我看過一次。這就足夠了。,,,
815,我看過一次。這就足夠了。,現在正在播放。我們一起來看看吧。,,,
816,我喜歡住在這裡。,我同意。帕薩迪納是個不錯的城市。,,,
817,我同意。帕薩迪納是個不錯的城市。,它不太大。,,,
818,它不太大。,而且還不算太小。,,,
819,而且還不算太小。,全年氣候宜人。,,,
820,全年氣候宜人。,它有玫瑰花車遊行。,,,
821,它有玫瑰花車遊行。,它有漂亮的房子。,,,
822,它有漂亮的房子。,它有很棒的餐廳。,,,
823,它有很棒的餐廳。,它有很棒的學校。,,,
824,它有很棒的學校。,它靠近山。,,,
825,它靠近山。,人們很友善。,,,
826,人們很友善。,我永遠不會離開。,,,
827,我們需要一個新床墊。,這是怎麼回事？,,,
828,這是怎麼回事？,這不舒服。,,,
829,這不舒服。,對我來說似乎很好。,,,
830,對我來說似乎很好。,我整夜翻來覆去。,,,
831,我整夜翻來覆去。,你應該停止喝咖啡。,,,
832,你應該停止喝咖啡。,看看我手臂上的這些痕跡。,,,
833,看看我手臂上的這些痕跡。,這些是什麼？,,,
834,這些是什麼？,它們是被咬的。,,,
835,它們是被咬的。,貓咬你了嗎？,,,
836,貓咬你了嗎？,不。床墊裡的臭蟲咬了我。,,,
837,不。床墊裡的臭蟲咬了我。,好的。我們去買張新床墊吧。,,,
838,我的筆記型電腦太慢了。,買一件新的。,,,
839,買一件新的。,如果我有錢的話我會的。,,,
840,如果我有錢的話我會的。,為什麼這麼慢？,,,
841,為什麼這麼慢？,這是個好問題。,,,
842,這是個好問題。,你把它帶到電腦店了嗎？,,,
843,你把它帶到電腦店了嗎？,如果我有錢的話我會的。,,,
844,如果我有錢的話我會的。,好吧，我想你必須忍受它。,,,
845,好吧，我想你必須忍受它。,有時我想把它丟出窗外。,,,
846,有時我想把它丟出窗外。,你不想那樣做。,,,
847,你不想那樣做。,為什麼不？,,,
848,為什麼不？,你可能會擊中某人的頭部。,,,
849,晚餐吃什麼？,我不知道。,,,
850,我不知道。,披薩怎麼樣？,,,
851,披薩怎麼樣？,你午餐吃了披薩。,,,
852,你午餐吃了披薩。,但我喜歡披薩。,,,
853,但我喜歡披薩。,每個人都喜歡披薩。,,,
854,每個人都喜歡披薩。,那為什麼我晚餐不能吃披薩呢？,,,
855,那為什麼我晚餐不能吃披薩呢？,因為你需要多樣性。,,,
856,因為你需要多樣性。,什麼是「多元性？,,,
857,什麼是「多元性？,不同的東西？？並不是一直都是一樣的東西。,,,
858,不同的東西？？並不是一直都是一樣的東西。,你的意思是，像義大利辣香腸披薩而不是起司披薩？,,,
859,你的意思是，像義大利辣香腸披薩而不是起司披薩？,不，我的意思是沙拉而不是披薩。,,,
860,我們需要省錢。,為什麼我們需要省錢？,,,
861,為什麼我們需要省錢？,因為我們需要買房子。,,,
862,因為我們需要買房子。,但房子這麼貴。,,,
863,但房子這麼貴。,這就是為什麼我們需要省錢。,,,
864,這就是為什麼我們需要省錢。,我們需要存多少錢？,,,
865,我們需要存多少錢？,我們需要存夠首付。,,,
866,我們需要存夠首付。,那個多少錢？,,,
867,那個多少錢？,"大約是 30,000 美元。",,,
868,"大約是 30,000 美元。",三萬塊！這將需要永遠。,,,
869,三萬塊！這將需要永遠。,如果我們省每一分錢就不會。,,,
870,如果我們省每一分錢就不會。,好的。這是七便士。,,,
871,海洋那麼大。,你看不到它的盡頭。,,,
872,你看不到它的盡頭。,它永遠持續下去。,,,
873,它永遠持續下去。,而且也很深。,,,
874,而且也很深。,我認為它有五英里深。,,,
875,我認為它有五英里深。,水底有魚嗎？,,,
876,水底有魚嗎？,上面和下面都有魚。,,,
877,上面和下面都有魚。,魚多了還是人多了？,,,
878,魚多了還是人多了？,我認為還有更多的魚。,,,
879,我認為還有更多的魚。,但願如此。我喜歡吃魚。,,,
880,我對媽媽很生氣。,這是為什麼？,,,
881,這是為什麼？,我警告過她關於她的新男朋友的事。她不聽我的。,,,
882,我警告過她關於她的新男朋友的事。她不聽我的。,發生了什麼事？,,,
883,發生了什麼事？,"我給了她 1,000 美元作為她的生日禮物。我告訴她把錢花在自己身上。",,,
884,"我給了她 1,000 美元作為她的生日禮物。我告訴她把錢花在自己身上。",你真是太好了。,,,
885,你真是太好了。,我發現她把它給了她的新男友。,,,
886,我發現她把它給了她的新男友。,她為什麼這麼做？,,,
887,她為什麼這麼做？,他說他會買一枚漂亮的戒指給她。,,,
888,他說他會買一枚漂亮的戒指給她。,這有什麼問題嗎？,,,
889,這有什麼問題嗎？,他去了拉斯維加斯。他在賭博中輸掉了一切。,,,
890,他去了拉斯維加斯。他在賭博中輸掉了一切。,我希望你媽媽跟他分手。,,,
891,動物之間會說話嗎？,他們當然會互相交談。,,,
892,他們當然會互相交談。,他們在談論什麼？,,,
893,他們在談論什麼？,他們談論其他動物。,,,
894,他們談論其他動物。,他們還談什麼？,,,
895,他們還談什麼？,他們談論食物和天氣。,,,
896,他們談論食物和天氣。,他們談論我們嗎？,,,
897,他們談論我們嗎？,他們當然談論我們。,,,
898,他們當然談論我們。,他們對我們有何評價？,,,
899,他們對我們有何評價？,他們說我們長得很滑稽。,,,
900,他們說我們長得很滑稽。,哈！我們長得併不好笑；動物看起來很有趣。,,,
901,哈！我們長得併不好笑；動物看起來很有趣。,我們看起來很滑稽，因為我們穿衣服。,,,
902,我必須打掃房子。,是的，它很髒。,,,
903,是的，它很髒。,你可以幫助我。,,,
904,你可以幫助我。,為什麼是我？,,,
905,為什麼是我？,因為你幫它弄髒了。,,,
906,因為你幫它弄髒了。,你要我做什麼？,,,
907,你要我做什麼？,我要你打掃浴室。,,,
908,我要你打掃浴室。,哦，這很容易。,,,
909,哦，這很容易。,清潔水槽、浴缸、流理台和廁所。,,,
910,清潔水槽、浴缸、流理台和廁所。,這是很多工作。,,,
911,這是很多工作。,當你完成時告訴我。,,,
912,當你完成時告訴我。,我不這麼認為。你只會給我更多的工作。,,,
913,你電視看太多了。,你是什麼意思？,,,
914,你是什麼意思？,我的意思是你在浪費生命。,,,
915,我的意思是你在浪費生命。,我玩得很開心。,,,
916,我玩得很開心。,你坐在那裡張著嘴。,,,
917,你坐在那裡張著嘴。,誰在乎？,,,
918,誰在乎？,我在乎。做一點事。,,,
919,我在乎。做一點事。,好的。我做了某件事。,,,
920,好的。我做了某件事。,你做了什麼？,,,
921,你做了什麼？,我調高了音量。,,,
922,我調高了音量。,這不是我所說的「做某事」的意思。,,,
923,這不是我所說的「做某事」的意思。,你會做某件事嗎？請別打擾我。,,,
924,你寫信給奶奶了嗎？,是的，我做到了。,,,
925,是的，我做到了。,你告訴她學校的事了嗎？,,,
926,你告訴她學校的事了嗎？,我告訴她學校很有趣。,,,
927,我告訴她學校很有趣。,你把信放進信封了嗎？,,,
928,你把信放進信封了嗎？,是的，我密封了信封。,,,
929,是的，我密封了信封。,你在信封上貼了郵票嗎？,,,
930,你在信封上貼了郵票嗎？,我找不到任何郵票。,,,
931,我找不到任何郵票。,它們在廚房抽屜裡。,,,
932,它們在廚房抽屜裡。,好的。我只是在信封上貼了郵票。,,,
933,好的。我只是在信封上貼了郵票。,把信封給我，我幫你郵寄。,,,
934,把信封給我，我幫你郵寄。,奶奶什麼時候才能學會電子郵件？,,,
935,為什麼打哈欠？,我想睡覺。,,,
936,我想睡覺。,為什麼不去睡覺？,,,
937,為什麼不去睡覺？,我想看這個電視節目。,,,
938,我想看這個電視節目。,也許你應該記錄下來。,,,
939,也許你應該記錄下來。,錄音機壞了。,,,
940,錄音機壞了。,那你應該看重播。,,,
941,那你應該看重播。,為什麼？我正在看原著。,,,
942,為什麼？我正在看原著。,但大約一分鐘後你就會睡著。,,,
943,但大約一分鐘後你就會睡著。,我只是打哈欠，因為廣告正在播放。,,,
944,我只是打哈欠，因為廣告正在播放。,好的。我會告訴你演出如何結束。,,,
945,好的。我會告訴你演出如何結束。,zzz。,,,
946,今天是星期日。,所以？,,,
947,所以？,你知道這意味著什麼。,,,
948,你知道這意味著什麼。,我忘了。,,,
949,我忘了。,星期日意味著我們去教堂。,,,
950,星期日意味著我們去教堂。,哦耶。,,,
951,哦耶。,穿上外套，繫上領帶。,,,
952,穿上外套，繫上領帶。,為什麼？,,,
953,為什麼？,以表達對上帝和他人的尊重。,,,
954,以表達對上帝和他人的尊重。,我很高興每週只有一次週日。,,,
955,我很高興每週只有一次週日。,我希望上帝沒有聽到這句話。,,,
956,我希望上帝沒有聽到這句話。,他會原諒我的。,,,
957,你餵貓了嗎？,我馬上就做。,,,
958,我馬上就做。,貓在喵喵叫。他餓了。,,,
959,貓在喵喵叫。他餓了。,好的。我現在就餵他。,,,
960,好的。我現在就餵他。,你不應該讓他等待。,,,
961,你不應該讓他等待。,我正在做作業。,,,
962,我正在做作業。,貓咪不關心你的作業。,,,
963,貓咪不關心你的作業。,貓什麼都不關心。,,,
964,貓什麼都不關心。,貓就是這樣。,,,
965,貓就是這樣。,他們只想到自己。,,,
966,他們只想到自己。,也許我們應該擺脫他。,,,
967,也許我們應該擺脫他。,當然不是！他是家人。,,,
968,我討厭刮鬍子。,我也是。,,,
969,我也是。,我剛剛又割傷了自己。,,,
970,我剛剛又割傷了自己。,你用了新刀片嗎？,,,
971,你用了新刀片嗎？,沒關係。舊刀片切割，新刀片切割。,,,
972,沒關係。舊刀片切割，新刀片切割。,也許你應該使用電動刮鬍刀。,,,
973,也許你應該使用電動刮鬍刀。,他們發出很大的噪音，但他們並沒有成功。,,,
974,他們發出很大的噪音，但他們並沒有成功。,也許你應該停止刮鬍子。,,,
975,也許你應該停止刮鬍子。,並留鬍子？,,,
976,並留鬍子？,當然。為什麼不？,,,
977,當然。為什麼不？,因為食物和其他東西都黏在我的鬍子上。,,,
978,因為食物和其他東西都黏在我的鬍子上。,唔。這是一個想法。將奶油塗在臉上，然後讓貓把它舔掉。,,,
979,打擾一下。,是的？,,,
980,是的？,你在看這篇論文嗎？,,,
981,你在看這篇論文嗎？,不好了。幫助自己。,,,
982,不好了。幫助自己。,我問是因為報紙就坐在你旁邊。,,,
983,我問是因為報紙就坐在你旁邊。,謝謝。你這樣問真是有禮貌。,,,
984,謝謝。你這樣問真是有禮貌。,有些人就會把它撿起來。,,,
985,有些人就會把它撿起來。,是的，我知道。有些人很粗魯。,,,
986,是的，我知道。有些人很粗魯。,我總是盡量保持禮貌。,,,
987,我總是盡量保持禮貌。,我也是。,,,
988,我也是。,世界需要更多像我們這樣有禮貌的人。,,,
989,世界需要更多像我們這樣有禮貌的人。,我百分百同意。,,,
990,媽媽，我想要一隻小狗。,讓我想想。,,,
991,讓我想想。,為什麼你必須考慮它？,,,
992,為什麼你必須考慮它？,因為養一隻小狗要花錢。,,,
993,因為養一隻小狗要花錢。,不，沒有。小狗是免費的。,,,
994,不，沒有。小狗是免費的。,是的，但是小狗需要注射。,,,
995,是的，但是小狗需要注射。,拍什麼？,,,
996,拍什麼？,所以它不會生病。就像你得到鏡頭一樣。,,,
997,所以它不會生病。就像你得到鏡頭一樣。,我討厭開槍。,,,
998,我討厭開槍。,一隻小狗吃食物。食物要錢。,,,
999,一隻小狗吃食物。食物要錢。,沒問題。我會把我盤子裡的食物給他。,,,
1000,沒問題。我會把我盤子裡的食物給他。,哦，不，你不知道。小狗不吃蔬菜。,,,
1001,看看這些小貓！,那裡有多少？,,,
1002,那裡有多少？,八。,,,
1003,八。,他們都很可愛。,,,
1004,他們都很可愛。,是的，但我不能保留它們。,,,
1005,是的，但我不能保留它們。,你打算怎麼處理它們？,,,
1006,你打算怎麼處理它們？,我要把它們送人。你想要一個嗎？,,,
1007,我要把它們送人。你想要一個嗎？,是的，我想要一個。,,,
1008,是的，我想要一個。,你想要哪一個？,,,
1009,你想要哪一個？,那個。那個全黑的。,,,
1010,那個。那個全黑的。,是的，我也喜歡那個。,,,
1011,是的，我也喜歡那個。,我就叫他小黑吧,,,
1012,我的父母每週日都會去教會。,他們相信上帝。,,,
1013,他們相信上帝。,他們希望自己能上天堂。,,,
1014,他們希望自己能上天堂。,他們可能會的。,,,
1015,他們可能會的。,但沒有人確切知道。,,,
1016,但沒有人確切知道。,這是肯定的。,,,
1017,這是肯定的。,沒有人知道我們死後會發生什麼事。,,,
1018,沒有人知道我們死後會發生什麼事。,如果我們善良，我們就會在天堂與上帝一起幸福。,,,
1019,如果我們善良，我們就會在天堂與上帝一起幸福。,很多人都這麼認為。,,,
1020,很多人都這麼認為。,如果我們不好，我們就會在地獄裡永遠不快樂。,,,
1021,如果我們不好，我們就會在地獄裡永遠不快樂。,我不想下地獄。,,,
1022,我不想下地獄。,週日我們和你父母一起去教會吧。,,,
1023,我丈夫死了。,我為你感到難過。,,,
1024,我為你感到難過。,謝謝。,,,
1025,謝謝。,他什麼時候死了？,,,
1026,他什麼時候死了？,幾個月前。,,,
1027,幾個月前。,你還想他。,,,
1028,你還想他。,是的，但我幾乎每天都和他說話。,,,
1029,是的，但我幾乎每天都和他說話。,你什麼時候去教會？,,,
1030,你什麼時候去教會？,不，當我用他的手機打電話給他時。,,,
1031,不，當我用他的手機打電話給他時。,你是什麼意思？,,,
1032,你是什麼意思？,我把他和他的手機一起埋葬了。,,,
1033,我把他和他的手機一起埋葬了。,當電池沒電時你會做什麼？,,,
1034,今天是十三號星期五。,這真是糟糕的一天。,,,
1035,這真是糟糕的一天。,應該是不走運的。,,,
1036,應該是不走運的。,你應該整天待在家裡。,,,
1037,你應該整天待在家裡。,我就是做這個的。,,,
1038,我就是做這個的。,我的朋友十三號星期五住在旅館。,,,
1039,我的朋友十三號星期五住在旅館。,那是個錯誤。,,,
1040,那是個錯誤。,他住在十三樓。,,,
1041,他住在十三樓。,發生了什麼事？,,,
1042,發生了什麼事？,有人偷了他的筆記型電腦。,,,
1043,有人偷了他的筆記型電腦。,他是自找的。,,,
1044,他是自找的。,他吸取了教訓。他今天在家。,,,
1045,你真的愛我嗎？,當然。,,,
1046,當然。,證明給我看。,,,
1047,證明給我看。,我怎樣才能證明呢？,,,
1048,我怎樣才能證明呢？,帶我去吃晚餐。,,,
1049,帶我去吃晚餐。,就是這樣？這就是我所要做的一切？,,,
1050,就是這樣？這就是我所要做的一切？,帶我去一家不錯的餐廳，而不是麥當勞。,,,
1051,帶我去一家不錯的餐廳，而不是麥當勞。,但好的餐廳是要花錢的。,,,
1052,但好的餐廳是要花錢的。,是的，而且你必須預約。,,,
1053,是的，而且你必須預約。,真是太麻煩了。,,,
1054,真是太麻煩了。,我知道你不愛我。,,,
1055,我知道你不愛我。,好吧好吧！我現在就預訂。,,,
1056,我的父母離婚了。,我的也是。,,,
1057,我的也是。,你父母為什麼離婚？,,,
1058,你父母為什麼離婚？,我父親找到了一個新女朋友。,,,
1059,我父親找到了一個新女朋友。,這太糟糕了。,,,
1060,這太糟糕了。,我媽媽很傷心，很生氣。,,,
1061,我媽媽很傷心，很生氣。,她有充分的理由。她做了什麼？,,,
1062,她有充分的理由。她做了什麼？,她告訴他放棄他的女朋友。,,,
1063,她告訴他放棄他的女朋友。,你父親做了什麼？,,,
1064,你父親做了什麼？,他搬出了我們的房子。,,,
1065,他搬出了我們的房子。,我猜他真的很喜歡他的新女友。,,,
1066,我猜他真的很喜歡他的新女友。,是的，但一年後她離開了他。,,,
1067,我奶奶的公寓聞起來很奇怪。,我的也是。,,,
1068,我的也是。,我認為這是老年人的氣味。,,,
1069,我認為這是老年人的氣味。,真的嗎？,,,
1070,真的嗎？,是的。我認為當你變老時，你就會開始有氣味。,,,
1071,是的。我認為當你變老時，你就會開始有氣味。,比如太熟的水果？,,,
1072,比如太熟的水果？,是的，就像太熟的水果一樣。,,,
1073,是的，就像太熟的水果一樣。,但氣味不同。,,,
1074,但氣味不同。,是的，老年人聞起來不像水果。,,,
1075,是的，老年人聞起來不像水果。,不，它們聞起來像舊貨店。,,,
1076,不，它們聞起來像舊貨店。,是的，舊貨店也有同樣的氣味。,,,
1077,是的，舊貨店也有同樣的氣味。,是的，一種古老的氣味。,,,
1078,郵票的價格越來越高。,我認為郵票過去要花一分錢。,,,
